time,value,n
2006-01-01,21.12440191387559,209
2006-02-01,14.375598086124405,418
2006-03-01,17.02631578947368,418
2006-04-01,11.971291866028714,418
2006-05-01,6.461722488038278,418
2006-06-01,13.980861244019136,418
2006-07-01,9.382775119617229,418
2006-08-01,15.282296650717706,418
2006-09-01,23.645933014354068,418
2006-10-01,35.732057416267985,418
2006-11-01,33.36842105263156,418
2006-12-01,46.09569377990432,418
2007-01-01,27.960187353629998,427
2007-02-01,26.167431192660537,436
2007-03-01,23.199084668192224,437
2007-04-01,20.89497716894978,438
2007-05-01,15.924829157175399,439
2007-06-01,19.095454545454537,440
2007-07-01,19.646258503401345,441
2007-08-01,14.404977375565625,442
2007-09-01,28.04740406320541,443
2007-10-01,38.39864864864863,444
2007-11-01,39.45168539325838,445
2007-12-01,41.99103139013452,446
2008-01-01,34.275784753363226,446
2008-02-01,26.20627802690582,446
2008-03-01,27.934977578475337,446
2008-04-01,24.20179372197308,446
2008-05-01,18.497757847533624,446
2008-06-01,17.991031390134523,446
2008-07-01,17.836322869955158,446
2008-08-01,21.706278026905835,446
2008-09-01,40.37219730941705,446
2008-10-01,41.775784753363226,446
2008-11-01,44.45964125560536,446
2008-12-01,57.721973094170394,446
2009-01-01,41.257847533632294,446
2009-02-01,35.991031390134545,446
2009-03-01,36.708520179372215,446
2009-04-01,37.473094170403606,446
2009-05-01,24.443946188340846,446
2009-06-01,23.867713004484283,446
2009-07-01,28.692825112107624,446
2009-08-01,32.679372197309434,446
2009-09-01,39.23766816143499,446
2009-10-01,61.006726457399104,446
2009-11-01,51.98430493273543,446
2009-12-01,65.81838565022429,446
2010-01-01,48.19955156950671,446
2010-02-01,38.80941704035873,446
2010-03-01,47.66816143497756,446
2010-04-01,36.053811659192796,446
2010-05-01,31.347533632286993,446
2010-06-01,31.44618834080716,446
2010-07-01,34.48878923766818,446
2010-08-01,34.206278026905835,446
2010-09-01,55.22645739910318,446
2010-10-01,92.59641255605376,446
2010-11-01,73.26008968609864,446
2010-12-01,96.13901345291481,446
2011-01-01,60.64349775784754,446
2011-02-01,52.61434977578475,446
2011-03-01,53.89013452914798,446
2011-04-01,48.19955156950673,446
2011-05-01,37.69955156950676,446
2011-06-01,34.387892376681606,446
2011-07-01,36.708520179372215,446
2011-08-01,43.86098654708521,446
2011-09-01,56.44170403587442,446
2011-10-01,78.48654708520178,446
2011-11-01,75.03811659192826,446
2011-12-01,88.82286995515693,446
2012-01-01,73.11883408071749,446
2012-02-01,62.37443946188339,446
2012-03-01,59.02017937219733,446
2012-04-01,46.50224215246635,446
2012-05-01,37.49103139013452,446
2012-06-01,36.114349775784724,446
2012-07-01,44.19730941704035,446
2012-08-01,48.85201793721971,446
2012-09-01,55.352017937219756,446
2012-10-01,62.43497757847536,446
2012-11-01,65.78251121076227,446
2012-12-01,85.14349775784757,446
2013-01-01,65.50448430493269,446
2013-02-01,53.39237668161436,446
2013-03-01,51.28026905829594,446
2013-04-01,40.53811659192827,446
2013-05-01,34.40358744394615,446
2013-06-01,35.17264573991031,446
2013-07-01,39.57174887892376,446
2013-08-01,47.437219730941706,446
2013-09-01,52.04484304932737,446
2013-10-01,68.26905829596414,446
2013-11-01,75.75336322869961,446
2013-12-01,81.6748878923767,446
2014-01-01,56.0829596412556,446
2014-02-01,57.17040358744394,446
2014-03-01,55.757847533632265,446
2014-04-01,47.0470852017937,446
2014-05-01,43.36995515695068,446
2014-06-01,42.12780269058293,446
2014-07-01,44.5493273542601,446
2014-08-01,48.12331838565023,446
2014-09-01,58.09641255605386,446
2014-10-01,73.84977578475333,446
2014-11-01,75.25336322869961,446
2014-12-01,91.66816143497746,446
2015-01-01,69.58295964125563,446
2015-02-01,70.63004484304929,446
2015-03-01,74.34080717488793,446
2015-04-01,72.56950672645736,446
2015-05-01,57.14798206278026,446
2015-06-01,61.98430493273541,446
2015-07-01,53.8408071748879,446
2015-08-01,51.97757847533632,446
2015-09-01,62.64349775784753,446
2015-10-01,74.20852017937216,446
2015-11-01,67.09192825112117,446
2015-12-01,81.06502242152463,446
2016-01-01,64.81165919282513,446
2016-02-01,50.85201793721973,446
2016-03-01,55.14798206278027,446
2016-04-01,48.127802690582975,446
2016-05-01,40.12107623318393,446
2016-06-01,41.683856502242186,446
2016-07-01,43.71524663677132,446
2016-08-01,42.18385650224214,446
2016-09-01,45.6165919282511,446
2016-10-01,65.07174887892378,446
2016-11-01,62.25336322869953,446
2016-12-01,75.48430493273541,446
2017-01-01,67.04932735426003,446
2017-02-01,57.63228699551567,446
2017-03-01,54.21748878923765,446
2017-04-01,45.74215246636771,446
2017-05-01,33.35426008968607,446
2017-06-01,37.482062780269146,446
2017-07-01,36.773542600896846,446
2017-08-01,49.39013452914802,446
2017-09-01,55.959641255605405,446
2017-10-01,58.358744394618846,446
2017-11-01,67.88789237668162,446
2017-12-01,82.96188340807181,446
2018-01-01,63.087443946188344,446
2018-02-01,53.681614349775785,446
2018-03-01,52.64573991031389,446
2018-04-01,40.831838565022416,446
2018-05-01,35.150224215246666,446
2018-06-01,34.76457399103139,446
2018-07-01,31.968609865470853,446
2018-08-01,38.495515695067255,446
2018-09-01,42.329596412556036,446
2018-10-01,47.06950672645741,446
2018-11-01,58.10986547085203,446
2018-12-01,73.51569506726457,446
2019-01-01,60.587443946188316,446
2019-02-01,56.320627802690574,446
2019-03-01,46.56726457399104,446
2019-04-01,41.1883408071749,446
2019-05-01,33.38789237668158,446
2019-06-01,40.183856502242136,446
2019-07-01,40.022421524663685,446
2019-08-01,42.87219730941704,446
2019-09-01,48.672645739910315,446
2019-10-01,53.57399103139013,446
2019-11-01,68.74663677130037,446
2019-12-01,75.20179372197309,446
2020-01-01,56.365470852017935,446
2020-02-01,48.874439461883426,446
2020-03-01,37.11883408071749,446
2020-04-01,40.88116591928251,446
2020-05-01,45.68385650224215,446
2020-06-01,38.79147982062784,446
2020-07-01,39.20852017937222,446
2020-08-01,43.66367713004483,446
2020-09-01,52.35874439461885,446
2020-10-01,52.34080717488791,446
2020-11-01,47.29596412556055,446
2020-12-01,66.3946188340807,446
2021-01-01,61.91928251121076,446
2021-02-01,49.21076233183857,446
2021-03-01,42.41928251121078,446
2021-04-01,40.44394618834078,446
2021-05-01,28.952914798206287,446
2021-06-01,31.896860986547097,446
2021-07-01,28.991031390134523,446
2021-08-01,35.03037383177571,428
2021-09-01,34.37799043062199,418
2021-10-01,39.84558823529409,408
2021-11-01,48.92245989304811,374
2021-12-01,64.06034482758619,348
2022-01-01,47.904191616766425,334
2022-02-01,44.34868421052632,304
2022-03-01,37.35036496350365,274
2022-04-01,32.084745762711876,236
2022-05-01,31.65048543689323,206
2022-06-01,30.48936170212765,188
2022-07-01,31.17977528089889,178
2022-08-01,29.97619047619049,168
2022-09-01,38.138888888888886,144
2022-10-01,35.59090909090909,132
2022-11-01,44.875,128
2022-12-01,63.85,120
2023-01-01,49.10204081632652,98
2023-02-01,46.36585365853657,82
2023-03-01,38.51351351351352,74
2023-04-01,32.38709677419355,62
2023-05-01,30.785714285714295,56
2023-06-01,30.952380952380953,42
2023-07-01,28,30
2023-08-01,27.866666666666667,30
2023-09-01,31.5,16
2023-10-01,34,2
